id,headline,person,stages,investment_locations,location,position,min_investment,max_investment,target_investment,headline,previous_position,previous_firm,areas_of_interest_freeform,no_current_interest_freeform,vote_count,firm,degrees,investments_on_record
7716,General Partner at NFX,James Currier,Pre-seed,"Palo Alto, California","Palo Alto, California",general_partner,500000,4000000,2500000,General Partner at NFX,,,"Companies in the SF Bay Area and Israel.  Anything with network effects: networks, marketplaces, synthetic biology, urban tech, fintech, Blockchain 2.0, B2B, B2C, consumer products, AR, IOT, connected devices.","Tools for ecommerce sites or retailers, adtech, restaurant tech, loyalty programs for local experiences, travel discovery, food delivery, children's savings/money programs, children's video games, things for parents.",242,NFX,"{'id': '6599', 'name': 'BA', 'field_of_study': 'Economics', 'school': {'id': '25243', 'name': 'Princeton University', 'display_name': 'Princeton University', 'total_student_count': 98}}","{'id': '13278', 'company_display_name': 'The Extraordinaries', 'total_raised': ['$1.1M'], 'coinvestor_names': ['Ariel Poler (Human Augmentation Syndicate)', 'Esther Dyson', 'Freada Kapor Klein'], 'investor_profile_funding_rounds': [{'id': '62510', 'is_lead': None, 'board_role': None, 'funding_round': {'id': '2131', 'stage': 'Seed Round', 'date': '2010-05-04T00:00:00Z', 'amount': '$1.1M'}}]}"
8118,General Partner at NFX,Pete Flint,Pre-seed,"Sao Paulo, Brazil","San Francisco, California",general_partner,500000,5000000,2500000,General Partner at NFX,,,Passionate about next generation marketplaces & technically minded founders that have strong intuition about markets & customers. AI and crazy ideas.,"Well if it doesn't have or aspire to have a network effect, then probably not a fit... Very very selective when looking at opportunities that are not based in the Bay Area - we can be more helpful when teams are near us.",150,NFX,"{'id': '5848', 'name': 'Executive Program', 'field_of_study': None, 'school': {'id': '26741', 'name': 'Singularity University', 'display_name': 'Singularity University', 'total_student_count': 17}}","{'id': '20298', 'company_display_name': 'AnyRoad', 'total_raised': ['$66M'], 'coinvestor_names': ['David Ulevitch (Andreessen Horowitz)', 'Charles Hudson (Precursor Ventures)', 'Gigi Levy-Weiss (NFX)', 'James Currier (NFX)', 'Roy Rubin (R-Squared Ventures)', 'Eric Reiner (Vine Ventures LP)', 'Jordan Fudge (Sinai Ventures)', 'Justin Kaufenberg (Rally Ventures)', 'Charles Beeler (Rally Ventures)', 'Keith Nilsson (Visionaire Ventures)', 'Gary Clayton (Relay Ventures)', 'Edith Yeung (Race Capital)', 'Lee Linden (Quiet Capital)', 'Noosheen Hashemi', 'Farzad Nazem', 'Tirto Adji', 'Gil Hirsch'], 'investor_profile_funding_rounds': [{'id': '63603', 'is_lead': True, 'board_role': None, 'funding_round': {'id': '21853', 'stage': 'Pre Seed Round', 'date': '2015-05-28T00:00:00Z', 'amount': '0'}}]}"
5736,General Partner and Venture Capitalist at CRV,Saar Gur,Series A,Canada,"San Francisco, California",general_partner,1000000,15000000,7500000,General Partner and Venture Capitalist at CRV,,,"Products that solve meaningful problems for consumers.  Includes:  Marketplaces, communication platforms, productivity tools, financial services, ed",I love authentic founders and products that stand out and uniquely solve a problem.  I tend not to be excited by many enterprise problems.,48,CRV,"{'id': '3130', 'name': 'MBA', 'field_of_study': None, 'school': {'id': '25671', 'name': 'Stanford Graduate School of Business', 'display_name': 'Stanford Graduate School of Business', 'total_student_count': 26}}","{'id': '10135', 'company_display_name': 'Flowtown', 'total_raised': ['$750K'], 'coinvestor_names': ['Steve Anderson (Baseline Ventures)', 'Mitchell Kapor (Kapor Capital)', 'Auren Hoffman (Flex Capital)', 'Travis Kalanick (10100)', 'Mark Goines'], 'investor_profile_funding_rounds': [{'id': '24613', 'is_lead': False, 'board_role': None, 'funding_round': {'id': '2357', 'stage': 'Seed Round', 'date': '2010-08-25T00:00:00Z', 'amount': '$750K'}}]}"
7703,General Partner at NFX,Gigi Levy-Weiss,Seed,"Tel Aviv, Israel","Tel Aviv, Israel",general_partner,500000,5000000,1000000,General Partner at NFX,,,"Network effect businesses! NFX focuses on businesses that have - or want to have - network effects in their core. This can be in any field - consumer, SMB, Enterprise, Fintech, Healthcare or govtech; and on any platform - web & mobile but also AR/VR, Blockchain, 3D printing, AI, Robotics and others. Top founders with huge ideas!","Currently not focusing on non-network effect businesses and specifically not telecom equipment, semiconductors and life sciences.",175,NFX,"{'id': '6494', 'name': 'MBA', 'field_of_study': None, 'school': {'id': '36324', 'name': 'Kellogg', 'display_name': 'Kellogg', 'total_student_count': 2}}","{'id': '15023', 'company_display_name': 'Zula', 'total_raised': ['$350K'], 'coinvestor_names': ['Jeff Pulver'], 'investor_profile_funding_rounds': [{'id': '66683', 'is_lead': None, 'board_role': None, 'funding_round': {'id': '8455', 'stage': 'Seed Round', 'date': '2013-05-22T00:00:00Z', 'amount': '$350K'}}]}"
15867,General Partner at NFX,Morgan Beller,Series A,San Francisco Bay Area,"San Francisco, California",general_partner,500000,5000000,1000000,General Partner at NFX,,,,,80,NFX,"{'id': '8402', 'name': 'Bachelor of Science (BS)', 'field_of_study': 'Statistical Informatics', 'school': {'id': '25451', 'name': 'Cornell University', 'display_name': 'Cornell University', 'total_student_count': 82}}","{'id': '56702', 'company_display_name': 'Radicle', 'total_raised': ['$24M'], 'coinvestor_names': ['Wayne Chang', 'Jon Kol'], 'investor_profile_funding_rounds': [{'id': '80490', 'is_lead': True, 'board_role': None, 'funding_round': {'id': '44431', 'stage': 'Venture Round', 'date': '2021-02-18T00:00:00Z', 'amount': '$12M'}}]}"
5406,General Partner at Fika Ventures,Eva Ho,Seed,"San Francisco, California","Los Angeles, California",general_partner,1000000,10000000,3000000,General Partner at Fika Ventures,,,,,47,Fika Ventures,"{'id': '6253', 'name': 'MBA', 'field_of_study': 'Business', 'school': {'id': '34255', 'name': 'Cornell Johnson Graduate School of Management', 'display_name': 'Cornell Johnson Graduate School of Management', 'total_student_count': 2}}","{'id': '29104', 'company_display_name': 'Elementary Robotics', 'total_raised': ['$16M'], 'coinvestor_names': ['Mohammad Islam (Threshold Ventures)', 'Dylan Reid (Zetta Venture Partners)', 'John Lee (Jazz Venture Partners)'], 'investor_profile_funding_rounds': [{'id': '77989', 'is_lead': None, 'board_role': None, 'funding_round': {'id': '41584', 'stage': 'Series A', 'date': '2020-06-30T00:00:00Z', 'amount': '$13M'}}, {'id': '44826', 'is_lead': True, 'board_role': None, 'funding_round': {'id': '26017', 'stage': 'Seed Round', 'date': '2018-12-19T00:00:00Z', 'amount': '$3.6M'}}]}"
13420,General Partner at Creandum,Carl Fritjofsson,Seed,San Francisco Bay Area,"San Francisco, California",general_partner,1000000,20000000,6000000,General Partner at Creandum,,,,,26,Creandum,,"{'id': '10666', 'company_display_name': 'Sickweather', 'total_raised': ['$1M'], 'coinvestor_names': [], 'investor_profile_funding_rounds': [{'id': '32793', 'is_lead': None, 'board_role': None, 'funding_round': {'id': '19304', 'stage': 'Angel', 'date': '2013-01-01T00:00:00Z', 'amount': '$1M'}}]}"
5674,Founding General Partner at Eniac Ventures,Tim Young,Series B,"New York, New York","New York, New York",general_partner,200000,1200000,700000,Founding General Partner at Eniac Ventures,,,,,24,ENIAC Ventures,"{'id': '5304', 'name': 'Guest Lecturer', 'field_of_study': None, 'school': {'id': '37297', 'name': 'University of Hawaii at Manoa', 'display_name': 'University of Hawaii at Manoa', 'total_student_count': 3}}","{'id': '11510', 'company_display_name': 'MightyMeeting', 'total_raised': [], 'coinvestor_names': ['Nihal Mehta (ENIAC Ventures)', 'Vic Singh (ENIAC Ventures)', 'Hadley Harris (ENIAC Ventures)'], 'investor_profile_funding_rounds': [{'id': '38242', 'is_lead': False, 'board_role': None, 'funding_round': {'id': '22399', 'stage': 'Seed Round', 'date': '2010-07-28T00:00:00Z', 'amount': '0'}}]}"
9401,Co-Founder and General Partner at BootstrapLabs,Ben Levy,Pre-seed,"San Francisco, California","San Francisco, California",general_partner,250000,3000000,500000,Co-Founder and General Partner at BootstrapLabs,,,,,24,BootstrapLabs,,"{'id': '70603', 'company_display_name': 'Southie Autonomy', 'total_raised': ['$2.5M'], 'coinvestor_names': [], 'investor_profile_funding_rounds': [{'id': '108236', 'is_lead': True, 'board_role': None, 'funding_round': {'id': '59792', 'stage': 'Seed Round', 'date': '2022-05-09T00:00:00Z', 'amount': '$2.5M'}}]}"
8142,,Sid Krommenhoek,Seed,"Salt Lake City, Utah","Lehi, Utah",general_partner,500000,3000000,750000,,,,,,20,Album VC,"{'id': '2116', 'name': ""Bachelor's"", 'field_of_study': 'Business Management, Entrepreneurship', 'school': {'id': '25254', 'name': 'Brigham Young University', 'display_name': 'Brigham Young University', 'total_student_count': 13}}","{'id': '46903', 'company_display_name': 'Marketware', 'total_raised': ['$5.9M'], 'coinvestor_names': ['Jack Boren'], 'investor_profile_funding_rounds': [{'id': '58118', 'is_lead': None, 'board_role': {'id': '10822', 'title': 'Board Observer'}, 'funding_round': {'id': '16233', 'stage': 'Seed Round', 'date': '2015-01-06T00:00:00Z', 'amount': '$1.4M'}}]}"
