Patent number,Title,Inventor name,Date,Page count,PDF link
US-11780265-B2,Truckle structure and cabinet,Li; Yongping et al.,2023-10-10,18,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11780265
US-11784848-B2,Method of assigning an operative address,Marzolla; Luca,2023-10-10,13,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11784848
US-11776152-B2,"Mobile apparatus obstacle detection system, mobile apparatus, and ground-sweeping robot",Dou; Chenhao et al.,2023-10-03,16,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11776152
US-11772313-B2,Injection molding adaptive compensation method based on melt viscosity fluctuation,Xie; Pengcheng et al.,2023-10-03,10,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11772313
US-11768896-B1,Virtual network analysis and exploitation,Powell; Jeffrey,2023-09-26,15,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11768896
US-D999603-S,Chemical injection tip,Abbott; William,2023-09-26,5,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D999603
US-11763170-B2,Method and system for predicting discrete sequences using deep context tree weighting,Bowling; Michael et al.,2023-09-19,13,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11763170
US-11763789-B2,Silencer,Gao; Qiang,2023-09-19,11,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11763789
US-11759985-B2,Insert-molded article and method for producing the same,Nakamura; Masayoshi,2023-09-19,23,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11759985
US-D999406-S,Ceiling rail connector,Saidian; Sasan,2023-09-19,9,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D999406
US-D999394-S,Acupressure apparatus,Mar; Eugene,2023-09-19,6,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D999394
US-11745632-B2,Folding lifting device for automobile,Wu; Zhiguang et al.,2023-09-05,22,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11745632
US-11751069-B2,"System and method for identification, selection and validation of best network access for IoT devices",Yeddala; Kiran et al.,2023-09-05,39,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11751069
US-11745109-B2,"Methods for controlling use of computing resources, such as virtual game consoles",Wurman; Peter et al.,2023-09-05,12,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11745109
US-11746944-B2,Piston-type water hammer absorber,Chen; Daowei,2023-09-05,11,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11746944
US-D998184-S,Modular basement shoring panel,O'Sullivan; Ken,2023-09-05,7,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D998184
US-11743702-B1,Advertising method and terminal for low-power bluetooth devices,Wu; Qun et al.,2023-08-29,12,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11743702
US-D995404-S,Trunk organizer,Cao; Shi,2023-08-15,9,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D995404
US-D995405-S,Trunk organizer,Cao; Shi,2023-08-15,9,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D995405
US-D994390-S,Pillow,Wilkeson; Shaun,2023-08-08,9,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D994390
US-11708694-B2,Inter-tenancy partitioning system,Srbinovski; Paul et al.,2023-07-25,8,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11708694
US-11707143-B2,Display system,Porterfield; James E. et al.,2023-07-25,18,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11707143
US-D993250-S,Antenna,Yang; Kansheng et al.,2023-07-25,6,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D993250
US-11700923-B2,Stealth micro-ballistic billfold,Schmidt; Steven H.,2023-07-18,17,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11700923
US-11702352-B2,Method and systems for oxygenation of water bodies,Gantzer; Paul,2023-07-18,18,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11702352
US-D991718-S,Display for device cases,Rosilier; Zach,2023-07-11,7,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D991718
US-D991867-S,Storage bag for pickup truck,Wu; Haikun,2023-07-11,11,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D991867
US-D991738-S,Lid of sport bottle,Zhao; Yangyang,2023-07-11,10,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D991738
US-11672192-B2,Electromagnetic frequency (EMF) detecting safety shovel for detecting the presence of subsurface power cables during excavation,Davey; Brenton,2023-06-13,8,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11672192
US-D989268-S,Fan heater,He; Xiangming et al.,2023-06-13,9,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D989268
US-11664177-B2,Backlight module,Ho; Hsuan-Wei,2023-05-30,15,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11664177
US-11662068-B2,Hand-held spotlight,Shen; Jianli et al.,2023-05-30,15,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11662068
US-11655884-B2,Linear motion device and component thereof,Lee; Szu-Ying,2023-05-23,16,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11655884
US-D986782-S,Boat fender,Zhou; Liqun,2023-05-23,6,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D986782
US-11651534-B2,Dynamic demonstration method and system for water-soluble ion concentration and composition of aerosol,Xiao; Hang et al.,2023-05-16,10,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11651534
US-11642610-B2,Vortex inducing device and a method of use thereof for concentrating sediment in a water tank,Maxwell; Leigh,2023-05-09,8,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11642610
US-D985835-S,Eye mask,Zhang; Hailong et al.,2023-05-09,6,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D985835
US-11639758-B2,Air-valve unit for vacuum system,Cho; Ho-Young,2023-05-02,14,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11639758
US-11639063-B2,Printing mechanism for sample container,Ruan; Liemin et al.,2023-05-02,11,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11639063
US-D984986-S,Antenna,Adela; Bedilu et al.,2023-05-02,4,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D984986
US-D984987-S,Antenna,Adela; Bedilu et al.,2023-05-02,4,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D984987
US-D984988-S,Antenna,Adela; Bedilu et al.,2023-05-02,4,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D984988
US-D985070-S,Plush toy,Hsieh; Henry,2023-05-02,8,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D985070
US-11633196-B2,Minimally invasive hip arthroplasty techniques and apparatus,Walker; Peter,2023-04-25,46,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11633196
US-11629016-B2,System and a method for transferring solid particles from a first environment at a first gas pressure to a second environment at a second gas pressure,Benstead; Stephen John et al.,2023-04-18,7,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11629016
US-11622716-B2,Wearable physiological monitoring systems and methods,Dwarika; Jared et al.,2023-04-11,28,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11622716
US-11624401-B2,Linear motion device,Lee; Szu-Ying,2023-04-11,18,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11624401
