title,type,location,people,description
Floodbase,Research & Education,"Brooklyn, NY, USA",11-50,"Floodbase was founded by Bessie Schwarz and Dr. Beth Tellman while studying as Masters students at Yale University. Both had experience working with climate vulnerable communities and saw firsthand how a lack of data directly contributed to inequity and financial ruin in the face of climate change. At Yale, they built the first iteration of Floodbase as a side project to fix disaster aid lists in El Salvador and New York state. Google flew them to Mountain View for a presentation on V1 of the tech and quickly funded them to build out the full research.
Since its founding, Floodbase has pioneered the field of satellite flood tracking, with our science appearing on the cover of Nature in 2021. Our Flood Intelligence Platform has enabled the United Nations and several national governments to improve flood disaster response. We are now powering a new type of flood insurance to help flood-vulnerable communities around the world access financial support and adapt in the face of increasing climate disasters."
Folsom Labs,Energy,"363 Clementina St, 2nd Floor, 94103",11-50,"Our Mission
We developed HelioScope to simplify the process of designing, engineering, and selling solar arrays. By combining streamlined layout tools with bankable energy simulations, HelioScope helps solar installers improve their design speeds by 5x-10x. At Folsom Labs, we are building a company where the best idea wins, and the product always comes first. We believe that affordable, clean solar energy is the most important opportunity of our generation and that the best way we can enable that is through easy-to-use software tools.
Our Team
The Folsom Labs team combines decades of solar industry experience with deep software and modeling expertise. The people on the Folsom Labs business team have been responsible for bringing some of the solar industry's most innovative products to market, from series A through IPO. The engineering team integrates power simulation engineering, advanced algorithms, graphics, and computer vision."
rePurpose Global,Materials & Manufacturing,"New York, NY, USA",11-50,"rePurpose Global is the World's First Plastic Credit Platform dedicated to reducing waste, reviving lives, and restoring nature's balance. Our mission is to make planetary action delightfully simple for purposeful people and companies of any size, anywhere and help them go Plastic Neutral by financing innovators on the frontlines of protecting humanity's common habitat. It's simple - for every $0.50 contributed to our platform, we remove 1 kg of plastic waste otherwise destined for our natural ecosystem. We accomplish this through our Global Solutions Network of plastic recovery projects across 7 countries, where we deploy financing from our coalition to catalyze and scale up their environmental impact.

1) PlasticNeutral Products: We help consumer brands measure & compensate for your plastic footprint by removing and recycling an equivalent amount of ocean-bound plastic waste through our vetted projects across Asia, South America, and Africa. With us, you can instantly differentiate from competitors and demonstrate authentic commitment to societal responsibility overnight.
2) EverydayNeutral: a tick-box at the point-of-checkout for any e-commerce retailer where customers can add a few pennies and erase the unique plastic footprint of their purchase that day. By enabling people to balance out the bad by doing an equal amount of good, you build goodwill with new customers and retain loyal ones - all at no cost to the business.
3) PlasticNeutral Consumers: Individuals anywhere in the world can subscribe to go PlasticNeutral by taking our 3-minute plastic footprint calculator and paying $2-4/month to a project of your choice to compensate for your consumption. As a member of our global community, reBalancers also receive uniquely personalized tips & tricks to help them lead a greener lifestyle."
A123Systems,Energy,"USA,MA,Westborough",1001-5000,"Based on new, highly active nanoscale material initially developed at MIT, A123Systems' low impedance Nanophosphate electrode technology provides a competitive advantage over alternative high power technologies.

A123's cell and electrode designs lower cost/watt and cost/watt-hour. They have higher voltage than other long-life systems, enabling lower pack cost. Their long life leads to reduced lifecycle and system costs resulting in greater overall price-performance ."
350.org,Advocacy or Policy,"USA,NY,Brooklyn",101-250,We're an international movement of ordinary people working to end the age of fossil fuels and build a world of community-led renewable energy for all.
75F,Buildings,"USA,MN,Burnsville",51-100,"75F is a predictive and proactive IoT-based building automation system that addresses HVAC, lighting, and equipment control needs."
24M Technologies,Energy,"USA,MA,Cambridge",11-50,"24M Technologies, Inc. builds energy storage systems for grid and transportation applications. The company was founded in 2010 and is based in Cambridge, Massachusetts."
10X Beta,Materials & Manufacturing,"USA,NY,New York City",11-50,"Product Design, Development, and Manufacturing firm in Brooklyn, New York focused on consumer electronics, medical devices, and advanced robotics where speed to market is paramount."
7ac Technologies,Energy,"USA,MA,Beverly",11-50,"7AC Technologies offers a new approach to air conditioning technology, delivering extreme energy savings and the ability to maximize climate friendly refrigerants."
3DFS,Energy,"USA,NC,Pittsboro",11-50,"The VectorQ Series synchronizes the electricity for all of the loads in the panel for maximum energy efficiency, asset performance and protection. It also establishes a secure, autonomous power network and provides data analytics capabilities on every load."
Commonwealth Fusion Systems (CFS),Energy,"Cambridge, MA, USA",51-100,"The world needs a fundamentally new source of clean energy to meet our growing energy demands and combat climate change. Scientists have been studying fusion for decades and have made significant progress, but have yet to achieve its potential as a commercial power source. However, its promise has continued to drive interest with the understanding that successfully deployed fusion power would transform the world’s energy landscape.
Commonwealth Fusion Systems (CFS) was spun out of MIT's Plasma Science and Fusion Center to leverage the decades of fusion research combined with the innovation and speed of the private sector. Supported by the world’s leading investors in breakthrough energy technologies, the CFS team is uniquely positioned to deliver the fastest path to commercial fusion energy. CFS has assembled a world-class team to design and build fusion machines. This team includes experts in magnets, manufacturing, and plasma physics dedicated to the mission of delivering clean, limitless fusion power to the world."
NatureWorks,Materials & Manufacturing,"Minnetonka, MN, USA",101-250,"What began in 1989 as a Cargill research project looking for innovative uses of carbohydrates from plants as feedstock for more sustainable plastics, quickly matured into the innovative materials for which we are known today.
NatureWorks is now a world-leading biopolymers supplier and innovator with its Ingeo portfolio of naturally advanced materials made from renewable, abundant feedstocks with performance and economics that compete with oil-based intermediates, plastics, and fibers. These materials also provide brand owners new cradle-to-cradle options after the use of their products.
NatureWorks is jointly owned by Thailand’s largest chemical producer, PTT Global Chemical, and Cargill, which provides food, agriculture, financial and industrial products and services to the world.
Our manufacturing facility, located in Blair, Nebraska, USA, has a name plate capacity of 330 million pounds (150,000 metric tons) of Ingeo biopolymer. Our plant came online in 2002. In 2003, we built the world’s largest lactic acid manufacturing facility to feed our polymer plant. Then in 2009 we opened a state-of-the-art applications development facility. Most recently in 2016, we opened a new fermentation laboratory to develop commercial-scale methane to lactic acid fermentation technology.
Today, with representatives in over 10 countries, NatureWorks does business in North America, Europe, Japan and Asia Pacific. We continue to work with converters, brandowners and retailers around the world to help introduce naturally advanced products that span multiple industries and categories, including rigid and flexible packaging solutions; food serviceware; health and personal care; durable products in home, appliance, and electronic categories; and 3D printing filament."
Primergy Solar LLC,Energy,"Oakland, CA, USA",11-50,"Primergy Solar is a specialist developer, owner and operator focused on both distributed and utility scale solar PV and battery storage projects across North America.
​
Primergy Solar is a portfolio company of

Primergy has a ‘hands on’ industry-seasoned team with ‘in house’ capability in development, construction and long-term asset operations and management.
​
Primergy Solar undertakes both self-develop as well as co-develop and partnering ventures offering flexibility to developers across a wide range of projects.
​
We encourage potential development partners to contact us to explore how Primergy can help get your projects constructed."
Energy Futures Initiative,Advocacy or Policy,"Washington, DC, USA",11-50,"Our Mission
The Energy Futures Initiative advances solutions to the climate crisis through building coalitions, thought leadership, and science-based analysis.
In keeping with our principle of analytical independence, EFI-produced content is branded and published on this website. In some instances (co-productions & partnerships), our reports may be co-published on partner websites, in their entirety and without change.
Recent partners include the Bipartisan Policy Center, ClimateWorks, IHSMarkit, Breakthrough Energy, and the National Association of State Energy Officials (NASEO). Led by principals with decades of experience and proven track records in government, academia and the private sector, EFI conducts objective, fact-based and rigorous analysis supported by a multidisciplinary network of experts.
How We Work
We focus on solutions that are effective, pragmatic and acceptable to the broadest possible set of stakeholders. The EFI team and its global network of experts understand current energy markets, trends and needs, and will apply this collective talent and knowledge to a range of policy questions, including:

Analyzing complex energy systems, providing public and private decision-makers with strategic insights and integrated policy solutions and politically viable implementation pathways.

Advancing synergistic clean energy technologies and policies at home and around the world.

Convening industry, labor, policymakers, philanthropists and NGOs to forge practical implementable climate change solutions.

Promoting strong communities and a 21st century energy workforce, with a focus on city, state and regional innovation opportunities.

Engaging global experts to advance broad and collective energy security goals and objectives.

Our Structure
EFI is a core group of principals and analysts, supplemented by a cadre of Distinguished Associates, who are brought together as teams on a project basis. Our Distinguished Associates bring considerable expertise in various project domains and experience in analysis, research, policy and business.
In addition, EFI is guided by an international Advisory Board, whch convenes at least once a year to brainstorm on the most important areas in which EFI can contribute. The Advisors may also participate directly in projects of specific interest.
The Energy Futures Initiative, Inc. is a nonprofit organization operating under the District of Columbia Nonprofit Corporation Act.
We are located at 900 17th St. NW, Suite 1100, Washington D.C., 20006."
Second Nature,Advocacy or Policy,"Raleigh, NC, USA",11-50,"Mission
Second Nature is committed to accelerating climate action in, and through, higher education.

We do this by mobilizing a diverse array of higher education institutions to act on bold climate commitments, to scale campus climate initiatives, and to create innovative climate solutions. We align, amplify, and bridge the sector’s efforts with other global leaders to advance urgent climate priorities.

Vision
We envision humanity thriving through healthy, just, and sustainable living within a dynamically changing earth system. We see higher education playing a prominent leadership role in shaping research, learning, and communities that inspire and operationalize this positive future. Second Nature serves as a critical driver for leaders in higher education that commit to this responsibility.

Strategy
From its founding, Second Nature has worked to expand higher education’s ability to solve pressing sustainability challenges. Since 2006, that focus has been aimed at addressing the largest environmental challenge that civilization has faced: global climate change. This was the launch year of the Presidents’ Climate Leadership Commitments, now the longest standing voluntary carbon reduction program in the world, and through it the Climate Leadership Network of over 600 universities and colleges formed.

Our 2019-2022 Strategic Plan focuses on the imperative for exponential growth in climate progress to work towards 50% decarbonization in the US economy by 2030 based on advice from the best available science. This three year plan focuses on supporting network performance and cross-sector activity with the core of our strategy centered around the expansion of valued climate services.

We will continue activating more schools as climate leaders and driving climate action with other sectors, but need “better and more of it” within this 11-year window of opportunity to act. Leveraging higher education’s innovative research and partnership strengths will be key to proactively overcome the climate emergency.

What Defines Us
We will strive to have our commitments to diversity, transparency, humility, innovation, and community be qualities that are said about us, not characteristics that we simply declare. These values serve as our mirror as well as our lens for focused decision-making, internal organizational dynamics, and engagement with external stakeholders.

Diversity
At Second Nature, we recognize the fundamental value of diversity, and the essential role it plays in building a sustainable and positive global future. We are committed to a diverse workplace in which all individuals are treated with dignity and respect, because we believe that an inclusive, supportive environment enables us to thrive, and better meet the needs of our network and the communities we serve.

To us, the term diversity recognizes and encourages social and cultural differences, as well as individual ones. Current and historical inequities create uneven access to opportunities, and we are committed to breaking down those barriers in our work. We understand diversity to be not only the absence of discriminatory behavior or opinions, but also the active support of passionate, smart, and motivated employees and partners from a variety of backgrounds and experiences.

Embracing true diversity involves hiring, engaging, and supporting people who represent many perspectives, think differently, and challenge our assumptions. Diversity is the backbone of an innovative and vibrant organization, and though pursuing it is not always easy — it is vital. We are continually learning, and striving towards growth and action that will allow us to better affirm diversity and equity in our work, and serve as a model of change for others in the field."
Terrestrial Energy,Energy,"Oakville, Ontario, Canada",11-50,"errestrial Energy is developing revolutionary — not simply evolutionary — fission technology for electric power and hydrogen and much more. To achieve this, we use completely different nuclear technology – a molten salt as coolant and fuel in our Integral Molten Salt Reactor (IMSR®) power plant. With this technologically superior yet proven approach, IMSR® nuclear power plants are on a clear path to market and are more affordable, more cost competitive, and more versatile than conventional nuclear power plants that have been in use commercially for over 60 years.

IMSR® technology can be brought to market quickly, building them in four years to produce electricity or industrial heat at prices competitive with fossil fuels, while emitting no greenhouse gases. The first IMSR® power plants are expected to come online in the late 2020s.

IMSR® technology is today’s reliable and resilient clean energy game changer."
